,local_date,device_IMEI,data_count,OdometerStart,OdometerEnd,TotalMileageStart,TotalMileageEnd,KmsTravelled,WeekDay,FuelCostPerUnit,TotalFuelCost,MinFuelReading,MaxFuelReading,MinEngineTemperature,MaxEngineTemperature,MinVehicleSpeed,MaxVehicleSpeed,DoorOpenMovementTimeHrs,EngineTemperatureAbove100Hrs,EngineRPMAbove3000Count,EngineRPMAbove3500Count,EngineRPMAbove3500Hrs,BatteryLessThan30PercTimeHrs,IdleTimeOnIgnitionHrs,HighSpeedAbove120TimeHrs,HighSpeedAbove100TimeHrs,TotalFuelConsumedLtrs,HighSpeedAbove100Count,HighSpeedAbove120Count,TotalRefuelLtrs,AvgFuelConsumedPerKmLtrs,BatteryExcessRestingVoltageTimeHrs
10,2024-01-30,863540061975414,750,3709557,3721730,1402.0,1414.0,12.0,1,2.8,33.599999999999994,2.0,91.0,81.0,83.0,1.0,87.0,0.3333333333333333,0.0,0,0,0.0,0.0,1.53,0.0,0.0,35.6,0,0,36.9,2.966666666666667,1.58
11,2024-01-30,863540062446605,873,3190535,3204573,,,,1,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.22,0.0,0.0,0.0,0.0,0,0,0.0,,0.08
12,2024-01-31,863540061975414,2485,3721743,3803556,1414.0,1495.0,81.0,2,2.8,226.79999999999998,1.0,100.0,81.0,83.0,1.0,106.0,0.7166666666666667,0.0,15,0,0.0,0.0,6.52,0.0,0.0,192.3,19,0,191.70000000000002,2.3740740740740742,6.52
13,2024-02-01,863540061975414,2586,3803645,3886994,1495.0,1578.0,83.0,3,2.8,232.39999999999998,1.0,100.0,70.0,83.0,1.0,101.0,0.6166666666666667,0.0,19,5,0.0,0.0,6.58,0.0,0.0,188.5,8,0,187.0,2.2710843373493974,6.65
14,2024-02-02,863540061975414,3487,3887051,4012884,1578.0,1702.0,124.0,4,2.8,347.2,1.0,100.0,80.0,83.0,1.0,109.0,0.48333333333333334,0.0,80,1,0.0,0.0,8.88,0.0,0.016666666666666666,313.1,40,0,314.5,2.5250000000000004,9.92
15,2024-02-03,863540061975414,3286,4012899,4100132,1702.0,1786.0,84.0,5,2.8,235.2,1.0,100.0,80.0,82.0,1.0,105.0,0.8666666666666667,0.0,53,0,0.0,0.0,9.22,0.0,0.0,227.4,16,0,227.20000000000002,2.7071428571428573,9.62
16,2024-02-04,863540061975414,400,4100237,4115314,1786.0,1801.0,15.0,6,2.8,42.0,6.0,66.0,78.0,81.0,1.0,94.0,0.11666666666666667,0.0,5,0,0.0,0.0,0.52,0.0,0.0,31.200000000000003,0,0,31.6,2.08,0.55
17,2024-02-05,863540061975414,3336,4115363,4216153,1801.0,1904.0,103.0,0,2.8,288.4,1.0,99.0,66.0,81.0,1.0,110.0,0.6166666666666667,0.0,56,5,0.0,0.0,8.12,0.0,0.05,236.9,22,0,234.10000000000002,2.3000000000000003,8.18
18,2024-02-05,863540062446605,720,3204573,3219346,,,,0,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.87,0.0,0.0,0.0,0.0,0,0,0.0,,0.02
19,2024-02-06,863540061975414,1260,4216253,4275497,1904.0,2015.0,111.0,1,2.8,310.79999999999995,2.0,90.0,67.0,81.0,1.0,92.0,0.11666666666666667,0.0,5,0,0.0,0.0,3.87,0.0,0.0,73.4,0,0,75.8,0.6612612612612613,3.87
20,2024-02-06,863540062446605,2590,3219219,3297536,,,,1,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.62,0.0,0.0,0.0,0.0,0,0,0.0,,0.22
21,2024-02-07,863540061975414,3092,4275613,4363525,2015.0,2102.0,87.0,2,2.8,243.6,1.0,82.0,69.0,83.0,1.0,95.0,0.8666666666666667,0.0,10,0,0.0,0.0,7.77,0.0,0.0,155.4,0,0,153.1,1.7862068965517242,7.87
22,2024-02-07,863540062446605,1167,3297609,3311775,,,,2,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.08,0.0,0.0,0.0,0.0,0,0,0.0,,0.23
23,2024-02-08,863540061975414,2555,4363525,4432763,2102.0,2171.0,69.0,3,2.8,193.2,1.0,98.0,80.0,82.0,1.0,98.0,1.2166666666666666,0.0,9,0,0.0,0.0,7.93,0.0,0.0,159.9,0,0,159.8,2.3173913043478263,7.97
24,2024-02-09,863540061975414,1905,4432763,4504098,2171.0,2241.0,70.0,4,2.8,196.0,1.0,100.0,72.0,83.0,1.0,101.0,0.4666666666666667,0.0,15,0,0.0,0.0,6.65,0.0,0.08333333333333333,134.3,10,0,133.8,1.9185714285714288,6.83
25,2024-02-09,863540062446605,391,3311189,3312922,,,,4,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.45,0.0,0.0,0.0,0.0,0,0,0.0,,0.0
26,2024-02-10,863540061975414,1000,4564855,4602807,2300.0,2338.0,38.0,5,2.8,106.39999999999999,1.0,74.0,79.80000000000001,83.0,1.0,86.0,0.6166666666666667,0.0,14,1,0.0,0.0,2.87,0.0,0.0,101.5,0,0,100.0,2.6710526315789473,3.47
27,2024-02-12,863540061975414,4880,4603205,4688304,2338.0,2423.0,85.0,0,2.8,237.99999999999997,1.0,100.0,75.0,82.0,1.0,93.0,0.13333333333333333,0.0,15,3,0.0,0.0,5.15,0.0,0.0,207.10000000000002,0,0,205.5,2.436470588235294,5.18
28,2024-02-13,863540061975414,4852,4688401,4831641,2423.0,2564.0,141.0,1,2.8,394.79999999999995,1.0,100.0,20.0,84.0,1.0,106.0,0.7333333333333333,0.0,35,2,0.0,0.0,5.2,0.0,0.03333333333333333,212.9,26,0,212.5,1.5099290780141845,5.48
29,2024-02-14,863540061975414,3219,4831705,4910664,2564.0,2642.0,78.0,2,2.8,218.39999999999998,1.0,100.0,22.0,84.0,1.0,96.0,0.75,0.0,22,1,0.0,0.0,8.47,0.0,0.0,226.70000000000002,0,0,226.9,2.9064102564102567,9.37
30,2024-02-14,863540062446605,315,3312943,3315432,,,,2,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.28,0.0,0.0,0.0,0.0,0,0,0.0,,0.0
31,2024-02-15,863540061975414,3262,4910713,4992720,2642.0,2722.0,80.0,3,2.8,224.0,1.0,100.0,39.0,84.0,1.0,106.0,1.1333333333333333,0.0,20,0,0.0,0.0,7.88,0.0,0.0,206.10000000000002,5,0,205.9,2.5762500000000004,8.68
32,2024-02-15,863540062446605,1813,3315457,3348700,,,,3,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.47,0.0,0.0,0.0,0.0,0,0,0.0,,0.25
33,2024-02-16,863540061975414,2434,4992787,5068361,2722.0,2797.0,75.0,4,2.8,210.0,1.0,100.0,24.5,84.0,1.0,94.0,0.6,0.0,18,4,0.0,0.0,6.6,0.0,0.0,192.8,0,0,192.5,2.570666666666667,6.82
34,2024-02-16,863540062446605,2441,3348605,3410185,,,,4,2.8,,,,,,,,0.0,0.0,0,0,0.0,2.07,0.0,0.0,0.0,0.0,0,0,0.0,,0.1
35,2024-02-17,863540061975414,3803,5068361,5151608,2797.0,2879.0,82.0,5,2.8,229.6,1.0,100.0,26.0,84.0,1.0,99.0,0.8666666666666667,0.0,36,12,0.0,0.0,7.9,0.0,0.0,270.6,0,0,268.5,3.3000000000000003,9.08
36,2024-02-17,863540062446605,622,3410177,3421735,,,,5,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0,0,0.0,,0.02
37,2024-02-18,863540062446605,282,3421701,3422662,,,,6,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0,0,0.0,,0.0
38,2024-02-19,863540061975414,6507,5151657,5258178,2879.0,2984.0,105.0,0,2.8,294.0,1.0,100.0,22.0,83.0,1.0,104.0,1.0,0.0,35,0,0.0,0.0,7.4,0.0,0.0,250.5,8,0,252.8,2.3857142857142857,7.62
39,2024-02-20,863540061975414,4671,5258229,5335861,2984.0,3060.0,76.0,1,2.8,212.79999999999998,1.0,93.0,30.900000000000002,82.0,1.0,99.0,0.7666666666666667,0.0,22,3,0.0,0.0,6.5,0.0,0.0,159.70000000000002,0,0,158.9,2.1013157894736842,7.28
40,2024-02-20,863540062446605,601,3421701,3424413,,,,1,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.92,0.0,0.0,0.0,0.0,0,0,0.0,,0.02
41,2024-02-21,863540061975414,2936,5335935,5426981,3060.0,3149.0,89.0,2,2.8,249.2,1.0,100.0,24.0,82.0,1.0,97.0,0.55,0.0,18,3,0.0,0.0,6.8,0.0,0.0,233.4,0,0,232.9,2.6224719101123597,7.25
42,2024-02-21,863540062446605,641,3424413,3436350,,,,2,2.8,,,,,,,,0.0,0.0,0,0,0.0,0.33,0.0,0.0,0.0,0.0,0,0,0.0,,0.02
